Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Date,Date_reference,Date_sort,Date_hierarchy,local health board provider,local health board provider_reference,local health board provider_sort,local health board provider_hierarchy,specialty,specialty_reference,specialty_sort,specialty_hierarchy,stage of pathway,stage of pathway_reference,stage of pathway_sort,stage of pathway_hierarchy,weeks waiting,weeks waiting_reference,weeks waiting_sort,weeks waiting_hierarchy,age group,age group_reference,age group_sort,age group_hierarchy,Notes
27,27,Pathways waiting,1,1,,Jun-25,20250630,166,,Cardiff and Vale University LHB,W11000029,10,W92000004,Geriatric Medicine,430,31,T,Waiting for new OP appointment,1,1,T,Over 12 weeks and up to 13 weeks,12,13,T,Total,T,,,
263,263,Pathways waiting,1,1,,Sep-25,20250930,169,,All Wales LHB (Provider),W92000004,1,,Endocrinology,302,25,T,Waiting for new OP appointment,1,1,T,Over 10 weeks and up to 11 weeks,10,11,T,Over 18 years of age,18,,T,
5,5,Pathways waiting,1,1,,Aug-25,20250831,168,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Clinical Immunology and Allergy,313,13,T,All Stages of Pathway,T,5,,Over 17 weeks and up to 18 weeks,17,18,T,Over 18 years of age,18,,T,
5,5,Pathways waiting,1,1,,Jun-25,20250630,166,,Cardiff and Vale University LHB,W11000029,10,W92000004,Paediatric Neurology,421,63,T,All Stages of Pathway,T,5,,Over 25 weeks and up to 26 weeks,25,26,T,Less than 18 years of age,17,,T,
4,4,Pathways waiting,1,1,,May-25,20250531,165,,All Wales LHB (Provider),W92000004,1,,Rheumatology,410,73,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 16 weeks and up to 17 weeks,16,17,T,Over 18 years of age,18,,T,
41,41,Pathways waiting,1,1,,Nov-24,20241130,159,,Cardiff and Vale University LHB,W11000029,10,W92000004,Urology,101,76,T,Waiting for new OP appointment,1,1,T,Over 3 weeks and up to 4 weeks,3,4,T,Total,T,,,
2,2,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,Clinical Neurophysiology,401,14,T,All Stages of Pathway,T,5,,Over 33 weeks and up to 34 weeks,33,34,T,Over 18 years of age,18,,T,
62,62,Pathways waiting,1,1,,Jun-25,20250630,166,,Hywel Dda LHB,W11000025,4,W92000004,Dermatology,330,21,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 69 weeks and up to 73 weeks,69 - 72,49,T,Total,T,,,
"2,706",2706,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,Total,T,83,,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 6 weeks and up to 7 weeks,6,7,T,Total,T,,,
52,52,Pathways waiting,1,1,,Aug-24,20240831,156,,All Wales LHB (Provider),W92000004,1,,Respiratory Medicine,340,71,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 8 weeks and up to 9 weeks,8,9,T,Over 18 years of age,18,,T,
136,136,Pathways waiting,1,1,,May-25,20250531,165,,All Wales LHB (Provider),W92000004,1,,Paediatric Dentistry,142,61,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Total,T,59,,Less than 18 years of age,17,,T,
2,2,Pathways waiting,1,1,,May-25,20250531,165,,Aneurin Bevan LHB,W11000028,9,W92000004,Clinical Pharmacology,305,16,T,All Stages of Pathway,T,5,,Over 38 weeks and up to 39 weeks,38,39,T,Over 18 years of age,18,,T,
12,12,Pathways waiting,1,1,,Aug-25,20250831,168,,All Wales LHB (Provider),W92000004,1,,Vascular Surgery,107,79,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 81 weeks and up to 85 weeks,81 - 84,52,T,Over 18 years of age,18,,T,
4,4,Pathways waiting,1,1,,May-25,20250531,165,,Hywel Dda LHB,W11000025,4,W92000004,Allied Health Profession Services,999,2,T,All Stages of Pathway,T,5,,Over 9 weeks and up to 10 weeks,9,10,T,Less than 18 years of age,17,,T,
"2,201",2201,Pathways waiting,1,1,,Aug-24,20240831,156,,All Wales LHB (Provider),W92000004,1,,Trauma and Orthopaedic,110,75,T,Waiting for new OP appointment,1,1,T,Over 41 weeks and up to 45 weeks,41 - 44,42,T,Over 18 years of age,18,,T,
"3,593",3593,Pathways waiting,1,1,,Jun-25,20250630,166,,All Wales LHB (Provider),W92000004,1,,Trauma and Orthopaedic,110,75,T,All Stages of Pathway,T,5,,Over 49 weeks and up to 53 weeks,49 - 52,44,T,Over 18 years of age,18,,T,
"1,930",1930,Pathways waiting,1,1,,Oct-25,20251031,170,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Total,T,83,,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 5 weeks and up to 6 weeks,5,6,T,Total,T,,,
3,3,Pathways waiting,1,1,,Jan-25,20250131,161,,Hywel Dda LHB,W11000025,4,W92000004,General Surgery,100,29,T,All Stages of Pathway,T,5,,Over 24 weeks and up to 25 weeks,24,25,T,Less than 18 years of age,17,,T,
381,381,Pathways waiting,1,1,,Feb-25,20250228,162,,Swansea Bay University Health Board,W11000031,5,W92000004,Trauma and Orthopaedic,110,75,T,All Stages of Pathway,T,5,,Over 57 weeks and up to 61 weeks,57 - 60,46,T,Total,T,,,
1,1,Pathways waiting,1,1,,May-25,20250531,165,,Hywel Dda LHB,W11000025,4,W92000004,Clinical Neurophysiology,401,14,T,All Stages of Pathway,T,5,,Over 38 weeks and up to 39 weeks,38,39,T,Over 18 years of age,18,,T,
50,50,Pathways waiting,1,1,,Jul-25,20250731,167,,Hywel Dda LHB,W11000025,4,W92000004,Rheumatology,410,73,T,All Stages of Pathway,T,5,,Over 49 weeks and up to 53 weeks,49 - 52,44,T,Total,T,,,
78,78,Pathways waiting,1,1,,Jun-25,20250630,166,,Hywel Dda LHB,W11000025,4,W92000004,Respiratory Medicine,340,71,T,All Stages of Pathway,T,5,,Over 3 weeks and up to 4 weeks,3,4,T,Over 18 years of age,18,,T,
18,18,Pathways waiting,1,1,,Mar-25,20250331,163,,Aneurin Bevan LHB,W11000028,9,W92000004,Pain Management,191,66,T,Waiting for new OP appointment,1,1,T,Over 2 weeks and up to 3 weeks,2,3,T,Total,T,,,
122,122,Pathways waiting,1,1,,Jun-25,20250630,166,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Gynaecology,502,34,T,Waiting for new OP appointment,1,1,T,Over 14 weeks and up to 15 weeks,14,15,T,Total,T,,,
119,119,Pathways waiting,1,1,,Mar-25,20250331,163,,All Wales LHB (Provider),W92000004,1,,Allied Health Profession Services,999,2,T,All Stages of Pathway,T,5,,Over 25 weeks and up to 26 weeks,25,26,T,Over 18 years of age,18,,T,
227,227,Pathways waiting,1,1,,Apr-25,20250430,164,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Trauma and Orthopaedic,110,75,T,All Stages of Pathway,T,5,,Over 23 weeks and up to 24 weeks,23,24,T,Over 18 years of age,18,,T,
120,120,Pathways waiting,1,1,,Apr-25,20250430,164,,All Wales LHB (Provider),W92000004,1,,Gastroenterology,301,26,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 28 weeks and up to 29 weeks,28,29,T,Over 18 years of age,18,,T,
